Data,Volume (Mmc)
2018-01-01,6.82
2018-02-01,9.39
2018-03-01,18.10
2018-04-01,22.75
2018-05-01,22.77
2018-06-01,22.38
2018-07-01,23.97
2018-08-01,15.88
2018-09-01,12.87
2018-10-01,10.96
2018-11-01,9.27
2018-12-01,13.20
2019-01-01,20.16
2019-02-01,23.79
2019-03-01,22.29
2019-04-01,19.19
2019-05-01,16.46
2019-06-01,17.18
2019-07-01,15.20
2019-08-01,13.07
2019-09-01,10.81
2019-10-01,8.86
2019-11-01,6.91
2019-12-01,9.83
2020-01-01,15.71
2020-02-01,15.73
2020-03-01,15.67
2020-04-01,20.81
2020-05-01,22.01
2020-06-01,20.55
2020-07-01,18.83
2020-08-01,15.86
2020-09-01,12.26
2020-10-01,10.26
2020-11-01,8.18
2020-12-01,6.44
2021-01-01,5.92
2021-02-01,7.90
2021-03-01,12.29
2021-04-01,19.31
2021-05-01,21.93
2021-06-01,20.95
2021-07-01,18.98
2021-08-01,16.61
2021-09-01,14.19
2021-10-01,12.03
2021-11-01,10.99
2021-12-01,11.19
2022-01-01,22.68
2022-02-01,22.88
2022-03-01,22.01
2022-04-01,25.50
2022-05-01,23.06
2022-06-01,23.36
2022-07-01,21.76
2022-08-01,19.50
2022-09-01,17.34
2022-10-01,13.80
2022-11-01,11.82
2022-12-01,10.96
2023-01-01,11.28
2023-02-01,12.52
2023-03-01,13.40
2023-04-01,16.69
2023-05-01,25.45
2023-06-01,26.47
2023-07-01,26.03
2023-08-01,20.49
2023-09-01,18.31
2023-10-01,16.13
2023-11-01,13.86
2023-12-01,11.86
