0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
ANCIPA,TROINA,"30,40","7,04","9,17","-2,13","4,67",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-10.pdf,0,,,
ANCIPA,TROINA,"30,40","23,42","25,60","-2,18","23,36",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-06.pdf,0,,,
ANCIPA,TROINA,"30,40","25,60","24,61","0,99","23,76",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-05.pdf,0,,,
ANCIPA,TROINA,"30,40","5,83","0,20","5,63","6,86",IRR. - POT. - ELETTR,. E.N.E.L.,,inv_2013-01.pdf,0,,,
ANCIPA,TROINA,"30,40","24,61","23,85","0,76","23,04",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-04.pdf,0,,,
ANCIPA,TROINA,"30,40","9,17","11,45","-2,28","6,89",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-09.pdf,0,,,
ANCIPA,TROINA,"30,40","5,14","7,04","-1,90","1,16",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-11.pdf,0,,,
ANCIPA,TROINA,"30,40","3,59","5,14","-1,55","0,20",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-12.pdf,0,,,
ANCIPA,TROINA,"30,40","18,94","23,42","-4,48","16,65",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-07.pdf,0,,,
ANCIPA,TROINA,"30,40","16,03","5,83","10,20","12,33",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-02.pdf,0,,,
ANCIPA,TROINA,"30,40","23,85","16,03","7,82","21,08",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-03.pdf,0,,,
ANCIPA,TROINA,"30,40","11,45","18,94","-7,49","9,45",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-08.pdf,0,,,
ANCIPA,TROINA,"30,40","12,33","6,86","5,47","3,45",IRR. - POT. - ELETTR,. E.N.E.L.,,inv_2012-02.pdf,0,,,
ANCIPA,TROINA,"30,40","21,08","12,33","8,75","15,78",IRR. - POT. - ELETTR,E.N.E.L.,,inv_2012-03.pdf,0,,,
ANCIPA,TROINA,"30,40","6,86","6,80","0,06","3,31",IRR. - POT. - ELETTR,. E.N.E.L.,,inv_2012-01.pdf,0,,,
ANCIPA,TROINA,"30,40","23,36","23,76","-0,40","18,54",IRR. - POT. - ELETTR,E.N.E.L.,,inv_2012-06.pdf,0,,,
ANCIPA,TROINA,"30,40","1,16","4,67","-3,51","8,45",IRR. - POT. - ELETTR,E.N.E.L.,,inv_2012-11.pdf,0,,,
ANCIPA,TROINA,"30,40","9,45","16,65","-7,20","14,70",IRR. - POT. - ELETTR,E.N.E.L.,,inv_2012-08.pdf,0,,,
