0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-10.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-10.pdf,0,,,
,,,"ottobre
2013","settembre
2013","scarto
mese prec.","ottobre
2012",,,,inv_2013-10.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","3,92","4,80","-0,88","4,04",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","16,50","18,52","-2,02","14,98",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2013-10.pdf,0,,,
POMA,JATO,"72,50","45,16","48,89","-3,73","28,61",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
ARANCIO,CARBOJ,"34,80","21,61","22,40","-0,79","21,87",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
NICOLETTI,CRISA',"20,20","11,37","11,52","-0,15","13,16",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","12,59","14,05","-1,46","14,98",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
TRINITA',DELIA,"18,00","6,96","6,58","0,38","5,95",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","25,29","27,05","-1,76","37,25",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2013-10.pdf,0,,,
RUBINO,BIRGI,"11,50","6,95","6,97","-0,02","4,42",IRRIGUO,C.B. 1 - TRAPANI,,inv_2013-10.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","5,04","5,16","-0,12","5,19",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
CIMIA,CIMIA,"10,00","6,12","7,36","-1,24","5,16",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
DISUERI,GELA,"23,60","1,37","0,85","0,52","1,67",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2013-10.pdf,0,,,
ANCIPA,TROINA,"30,40","7,04","9,17","-2,13","4,67",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-10.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","23,96","32,90","-8,94","31,56",IRR. - ELETTR.,E.N.E.L.,,inv_2013-10.pdf,0,,,
FANACO,PLATANI,"20,70","14,49","15,61","-1,12","12,09",POTABILE,SICILIACQUE,,inv_2013-10.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","43,77","44,57","-0,80","38,87",POT. - IRR.,C.B. 2 - PALERMO,,inv_2013-10.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","11,83","12,04","-0,21","7,07",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
PRIZZI,RAIA,"9,20","5,50","5,63","-0,13","3,63",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-10.pdf,0,,,
OLIVO,OLIVO,"15,00","1,96","2,99","-1,03","3,06",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
LEONE,VERDURA,"4,19","2,77","3,07","-0,30","3,40",POT. - ELETTR.,SICILIACQUE,,inv_2013-10.pdf,0,,,
S. GIOVANNI,NARO,"16,30","11,98","11,93","0,05","11,19",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,70","0,51","0,19","0,85",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","71,41","76,74","-5,33","74,39",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-10.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2013-10.pdf,0,,,
3%,-8%,TOTALI,"358,29","389,31","-31,02","348,06",,,,inv_2013-10.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2013-10.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-06.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-06.pdf,0,,,
,,,"giugno
2013","maggio
2013","scarto
mese prec.","giugno
2012",,,,inv_2013-06.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","7,93","9,16","-1,23","7,79",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","23,90","25,06","-1,16","20,12",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2013-06.pdf,0,,,
